Ad,name,anothername,parentPac,level,pac,dpac
110113002000,光明街道,光明,110113000000,5,110113002000,110113002000
110113003000,仁和地区,仁和,110113000000,5,110113003000,110113003000
110113004000,后沙峪地区,后沙峪,110113000000,5,110113004000,110113004000
110113005000,天竺地区,天竺,110113000000,5,110113005000,110113005000
110113006000,杨镇地区,杨镇,110113000000,5,110113006000,110113006000
110113007000,牛栏山地区,牛栏山,110113000000,5,110113007000,110113007000
110113008000,南法信地区,南法信,110113000000,5,110113008000,110113008000
110113009000,马坡地区,马坡,110113000000,5,110113009000,110113009000
110113010000,石园街道,石园,110113000000,5,110113010000,110113010000
110113011000,空港街道,空港,110113000000,5,110113011000,110113011000
110113012000,双丰街道,双丰,110113000000,5,110113012000,110113012000
110113013000,旺泉街道,旺泉,110113000000,5,110113013000,110113013000
110113101000,高丽营镇,高丽营,110113000000,5,110113101000,110113101000
110113104000,李桥镇,李桥,110113000000,5,110113104000,110113104000
110113105000,李遂镇,李遂,110113000000,5,110113105000,110113105000
110113106000,南彩镇,南彩,110113000000,5,110113106000,110113106000
110113108000,北务镇,北务,110113000000,5,110113108000,110113108000
110113109000,大孙各庄镇,大孙各庄,110113000000,5,110113109000,110113109000
110113110000,张镇,张镇,110113000000,5,110113110000,110113110000
110113111000,龙湾屯镇,龙湾屯,110113000000,5,110113111000,110113111000
110113112000,木林镇,木林,110113000000,5,110113112000,110113112000
110113113000,北小营镇,北小营,110113000000,5,110113113000,110113113000
110113115000,北石槽镇,北石槽,110113000000,5,110113115000,110113115000
110113116000,赵全营镇,赵全营,110113000000,5,110113116000,110113116000
110114001000,城北街道,城北,110114000000,5,110114001000,110114001000
110114002000,南口地区,南口,110114000000,5,110114002000,110114002000
110114003000,马池口地区,马池口,110114000000,5,110114003000,110114003000
110114004000,沙河地区,沙河,110114000000,5,110114004000,110114004000
110114005000,城南街道,城南,110114000000,5,110114005000,110114005000
110114007000,东小口地区,东小口,110114000000,5,110114007000,110114007000
110114008000,天通苑北街道,天通苑北,110114000000,5,110114008000,110114008000
110114009000,天通苑南街道,天通苑南,110114000000,5,110114009000,110114009000
110114010000,霍营街道,霍营,110114000000,5,110114010000,110114010000
110114011000,回龙观街道,回龙观,110114000000,5,110114011000,110114011000
110114012000,龙泽园街道,龙泽园,110114000000,5,110114012000,110114012000
110114013000,史各庄街道,史各庄,110114000000,5,110114013000,110114013000
110114104000,阳坊镇,阳坊,110114000000,5,110114104000,110114104000
110114110000,小汤山镇,小汤山,110114000000,5,110114110000,110114110000
110114111000,南邵镇,南邵,110114000000,5,110114111000,110114111000
110114112000,崔村镇,崔村,110114000000,5,110114112000,110114112000
110114113000,百善镇,百善,110114000000,5,110114113000,110114113000
110114115000,北七家镇,北七家,110114000000,5,110114115000,110114115000
110114116000,兴寿镇,兴寿,110114000000,5,110114116000,110114116000
110114118000,流村镇,流村,110114000000,5,110114118000,110114118000
110114119000,十三陵镇,十三陵,110114000000,5,110114119000,110114119000
